year,population_national,gdp_national(RM),gdp_national_per_capita(RM),Inflation(%),labour_force_national,employed_persons_national,unemployed_persons_national,outside_labour_force_national,unemployed_rate_national(%),participation_rate_national(%),income_mean_national(RM),income_median_national(RM),poverty_relative_national_median_income(%),gdp_national_growth_rate(%),gdp_national_per_capita_growth_rate(%),income_median_growth_rate(%),income_inequality(%),economic_stage
1970,10881800,73709682000.0,6773390000.0,0.02,0,0,0,0,0.0,0.0,264.0,166.0,0.0,0.0,0.0,0.0,0.37,Take-Off (Emerging Tiger Cub)
1971,11159700,81106199000.0,7265660000.0,0.02,0,0,0,0,0.0,0.0,288.0,181.0,0.0,0.1,0.07,0.09,0.37,Take-Off (Emerging Tiger Cub)
1972,11441300,88720810000.0,7751699000.0,0.03,0,0,0,0,0.0,0.0,313.0,196.0,0.0,0.09,0.07,0.08,0.37,Take-Off (Emerging Tiger Cub)
1973,11719800,99102104000.0,8455832000.0,0.11,0,0,0,0,0.0,0.0,338.0,212.0,0.0,0.12,0.09,0.08,0.37,Take-Off (Emerging Tiger Cub)
1974,12001300,107346073000.0,8941871000.0,0.17,0,0,0,0,0.0,0.0,362.0,227.0,0.0,0.08,0.06,0.07,0.37,Take-Off (Emerging Tiger Cub)
1975,12300300,108205988000.0,8798552000.0,0.04,0,0,0,0,0.0,0.0,434.0,268.0,0.0,0.01,-0.02,0.18,0.38,Take-Off (Emerging Tiger Cub)
1976,12588100,120718377000.0,9589923000.0,0.03,0,0,0,0,0.0,0.0,505.0,308.0,0.0,0.12,0.09,0.15,0.39,Take-Off (Emerging Tiger Cub)
1977,12901100,130077743000.0,10082193000.0,0.05,0,0,0,0,0.0,0.0,563.0,348.0,0.0,0.08,0.05,0.13,0.38,Take-Off (Emerging Tiger Cub)
1978,13200200,138732976000.0,10509519000.0,0.05,0,0,0,0,0.0,0.0,620.0,389.0,0.0,0.07,0.04,0.12,0.37,Take-Off (Emerging Tiger Cub)
1979,13518300,151703260000.0,11223580000.0,0.04,0,0,0,0,0.0,0.0,678.0,429.0,0.0,0.09,0.07,0.1,0.37,Take-Off (Emerging Tiger Cub)
